"English (US)","Italy"
"Next nine days!","Nei prossimi nove giorni!"
"Next ten days!","Nei prossimi dieci giorni!"
"delivered by","consegnato entro"
"Delivered by","Consegnato entro"
"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settembre"
"November","Novembre"
"October","Ottobre"
"December","Dicembre"
"//======================= Open Order page","Pagina Ordine aperto"
"Open Orders","Ordini aperti"
"Create Single Shipments","Crea singole spedizioni"
"Create Batch Shipments","Crea gruppo di spedizioni"
"Export All Orders","Esporta tutti gli ordini"
"Export Orders","Esporta ordini"
"Archive Orders","Archivia ordini"
"Order ID","ID ordine"
"Order Date","Data dell’ordine"
"Product","Prodotto"
"Delivery Address","Indirizzo di consegna"
"Shipping Service","Servizio di spedizione"
"COD","COD"
"Action","Azione"
"No results!","Nessun risultato!"
"Warning - Archiving orders will move your orders in the Archive tab and you can no longer process these orders. Click 'OK' to continue, 'Cancel' to go back to the screen","Avvertenza: archiviando gli ordini questi verranno spostati nella scheda Archivio, e non potrai più elaborarli. Fai clic su ‘OK’ per continuare, su ’Annulla’ per tornare alla schermata"
"Warning","Avvertenza"
"Cancel","Annulla"
"//======================= Detail Order page","Pagina Dettaglio dell’ordine"
"Order","Ordine"
"Order #","Ordine #"
"Customer","Cliente"
"Order value","Valore dell’ordine"
"Payment status","Stato del pagamento"
"Access Point","Access Point"
"//======================= Create single shipment page","Pagina Crea spedizione singola"
"Process Shipment","Elabora spedizione"
"Ship From","Spedire da"
"Ship To","Destinazione"
"Accessorial service","Servizio accessorio"
"Packaging","Imballaggio"
"Package #1","Pacco n. 1"
"Package #","Pacco n. "
"Add package","Aggiungi pacco"
"View estimated shipping fee and delivery date","Visualizza tariffa di spedizione e data di consegna stimate"
"Edit","Modifica"
"Create Shipment","Crea spedizione"
"Custom Package","Pacchetto personalizzato"
"Name","Nome"
"Address","Indirizzo"
"State","Stato/Provincia"
"Note: Insufficient or incorrect address may increase the shipping fee","Nota: Un indirizzo incompleto o non corretto potrebbe aumentare la tariffa di spedizione"
"Additional Handling","Movimentazione aggiuntiva"
"Additional handling","Movimentazione aggiuntiva"
"Quantum View Ship Notification","Notifica di spedizione Quantum View"
"Quantum View Delivery Notification","Notifica di consegna Quantum View"
"Residential Address","Indirizzo residenziale"
"Saturday Delivery","Consegna al sabato"
"Carbon Neutral","Carbon Neutral"
"Direct Delivery Only","Solo consegna diretta"
"Declared value","Valore dichiarato"
"Signature Required","Firma obbligatoria"
"Adult Signature Required","Richiesta la firma di un adulto"
"To Home COD","Contrassegno (COD) per consegne residenziali"
"Cancel Editing","Annulla modifica"
"To Access Point COD","Contrassegno (COD) per consegne a UPS Access Point"
"Orders to be processed","Ordini da elaborare"
"The name is not empty","Il campo Nome non è vuoto"
"The address is required","L’indirizzo è obbligatorio"
"The postal code is empty or invalid","Il campo Codice postale è vuoto o non valido"
"The city is not empty","Il campo Città non è vuoto"
"Invalid email format","Formato e-mail non valido"
"The phone is not empty","Il campo Telefono non è vuoto"
"Some of the data you entered is not valid. Please check again.","Alcuni dei dati inseriti non sono validi. Ricontrollali."
"There are errors connecting to the UPS API servers. Please try again.","Sono presenti errori legati ai server API UPS. Riprova."
"//======================= Shipment page","Pagina Spedizione"
"Shipments","Spedizioni"
"By selecting any order in this shipment tab, I agree to the <a href='javascrip:void(0);' id='term-condition'>Terms and Conditions.</a>","Selezionando qualsiasi ordine nella scheda Spedizione, accetto i <a href='javascrip:void(0);' id='term-condition'>Termini e condizioni</a>."
"UPS Tracking Terms and Conditions","Termini e condizioni delle ricerche UPS"
"NOTICE: The UPS package tracking systems accessed via this service (the &quot; Tracking Systems &quot;) and tracking information obtained through this service (the &quot; Information &quot;) is the private property of UPS. UPS authorizes you to use the Tracking Systems solely to track shipments tendered by or for you to UPS for delivery and for no other purpose. Without limitation, you are not authorized to make the Information available on any web site or otherwise reproduce, distribute, copy, store, use or sell the Information for commercial gain without the express written consent of UPS. This is a personal service, thus your right to use the Tracking Systems or Information is non-assignable. Any access or use that is inconsistent with these terms is unauthorized and strictly prohibited.","AVVISO: I sistemi di ricerca pacchi UPS sono accessibili tramite questo servizio (i “sistemi di ricerca”) e le informazioni di ricerca ottenute tramite il servizio (le “informazioni”) sono di proprietà esclusiva di UPS. UPS autorizza a utilizzare i sistemi di ricerca per monitorare esclusivamente le spedizioni affidate a UPS dall’utente o destinate all’utente per il solo scopo della consegna e per nessun altro scopo. Il Contraente non è autorizzato a: rendere disponibili le Informazioni su siti web o comunque riprodurre, distribuire, copiare, memorizzare, usare o vendere le informazioni a fini commerciali di lucro senza il previo ed esplicito consenso scritto di UPS. Tali servizi sono individuali, quindi il diritto del Contraente all’uso dei sistemi di ricerca o delle informazioni non è trasferibile. Qualsiasi accesso o uso in contrasto con tali termini non è autorizzato ed è severamente vietato."
"Download PDF Label","Scarica l'etichetta PDF"
"Download ZPL Label","Scarica l'etichetta ZPL"
"Export Shipment Data","Esporta dati di spedizione"
"Cancel Shipments","Annulla spedizioni"
"ID Shipment","ID spedizione"
"Tracking Number","Numero di ricerca"
"Date","Data"
"Estimated Shipping Fee","Tariffa di spedizione stimata"
"Shipment #","Spedizione #"
"Order #ID reference","Riferimento ID ordine"
"Package details","Dettagli del pacco"
"Are you sure you want to cancel selected shipment(s)?","Annullare le spedizioni selezionate?"
"Shipment Canceled","Spedizione annullata"
"Archived Orders","Ordini archiviati"
"//======================= Additional",""
"Packaging:","Imballaggio:"
"Access Point display setting:","Impostazione di visualizzazione dell’Access Point:"
"Number of Access Points visible to customers:","Numero di Access Point visibili ai clienti:"
"Display all the Access Points in range of:","Visualizza tutti gli Access Point nel raggio di:"
"Title:","Titolo:"
"Company:","Società:"
"Email:","E-mail:"
"Phone &nbsp number:","Numero di telefono:"
"Phone &nbsp;number:","Numero di telefono:"
"Address type:","Tipo di indirizzo:"
"Address:","Indirizzo:"
"Postal code:","Codice postale:"
"City:","Città:"
"Country:","Paese:"
"Account Name:","Nome del codice cliente:"
"Account Number:","Numero del codice cliente:"
"Account number:","Numero del codice cliente:"
"Invoice Number:","Numero fattura:"
"Invoice Amount:","Ammontare della fattura:"
"Currency:","Valuta:"
"Currency ","Valuta:"
"Invoice date:","Data fattura:"
"Name:","Nome:"
"Phone:","Telefono:"
"Customer:","Cliente:"
"Product:","Prodotto:"
"Shipping service:","Servizio di spedizione:"
"Order value:","Valore dell’ordine:"
"Payment status:","Stato del pagamento:"
"Access Point:","Access Point:"
"Payment Status:","Stato del pagamento:"
"Phone number:","Numero di telefono:"
"Package:","Pacco:"
"Estimated Shipping fee:","Tariffa di spedizione stimata:"
"Estimated Shipping Fee:","Tariffa di spedizione stimata:"
"Orders to be processed:","Ordini da elaborare:"
"Order #ID reference:","Riferimento ID ordine:"
"Package details:","Dettagli del pacco:"
"Tracking number:","Numero di ricerca:"
"Accessorial Service:","Servizio accessorio:"
"Accessorial service:","Servizio accessorio:"
"If you are new to UPS, please refer to the following FAQs for additional information:","Se sei nuovo di UPS, fai riferimento alle seguenti FAQ per informazioni aggiuntive:"
"VAT Number:","Partita IVA:"
"Promo Code:","Codice promozionale:"
"Country/Territory:","Paese/Territorio:"
"End of Business Day","Consegnato entro fine giornata lavorativa"
"//==============================Security Enhancement page",""
"Security Enhancement","Potenziamento della sicurezza"
"SECURITY ENHANCEMENTS ACTIVATION","ATTIVAZIONE DEL POTENZIAMENTO DELLA SICUREZZA"
"By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks.<br />Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).","Con l’installazione del plugin UPS hai acquisito questa comoda opzione per applicare al tuo negozio e-commerce i potenziamenti della sicurezza raccomandati da UPS. Attivando i particolari potenziamenti della sicurezza qui sotto potrai rendere il tuo sito e-commerce meno vulnerabile ad alcuni attacchi comuni degli hacker.<br />Nota che puoi lasciare disabilitati i potenziamenti di sicurezza consigliati da UPS se hai già implementato queste misure di sicurezza in altri modi (modificando correttamente la configurazione dei tuoi server, programmando i tuoi hook Magento o utilizzando un qualche altro plugin il cui obiettivo è quello di implementare simili potenziamenti)."
"Clickjacking Defense","Difesa contro il clickjacking"
"See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently.","Consulta [wikipedia|https://it.wikipedia.org/wiki/Clickjacking] per ulteriori informazioni. Attivando questa difesa, il plugin UPS renderà sicuro il tuo negozio comunicando la framing policy al browser dell’utente attraverso l’intestazione di risposta HTTP 'X-Frame-Options: Sameorigin' e inserendo un 'frame-breaker' java script per i browser precedenti. Il plugin UPS può mettere al sicuro le pagine di Front Office del tuo negozio online in conformità con la guida di difesa contro il clickjacking consigliata da OWASP. Disabilita questo meccanismo di difesa se desideri abilitare il framing dell’interfaccia grafica del tuo negozio su siti di terzi, oppure se hai già implementato queste difese in altri modi."
"Use X-Frame-Options response header","Usare intestazione di risposta X-Frame-Options"
"Do not use","Non usare"
"Deny","Deny"
"SameOrigin","SameOrigin"
"Use frame-killer script:","Usare script frame-killer:"
"Use Content-Security-Policy response header","Usare intestazione di risposta Content-Security-Policy"
"frame-ancestors 'none'","frame-ancestors 'none'"
"frame-ancestors 'sefl'","frame-ancestors 'sefl'"
"Content Sniffing Prevention","Prevenzione Content Sniffing"
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff","Consulta Wikipedia per ulteriori informazioni. Selezionando questa opzione, il plugin UPS renderà sicuro il Front Office del tuo negozio applicando <br />X-Content-Type-Options: nosniff"
"HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it.","Intestazione di risposta HTTP in tutte le pagine Front Office di Magento. Questo impedirà al browser dell’utente (in particolare Internet Explorer) di fare “MIME-sniffing” cercando una risposta diversa dal tipo di contenuto dichiarato. Questa funzione potrebbe non servire davvero, dal momento che i tuoi clienti non dovrebbero caricare alcun tipo di file potenzialmente dannoso sul tuo negozio online (ad es. JavaScript al posto di un immagine). Tuttavia è sempre buona prassi abilitare questa intestazione speciale di sicurezza, poiché a essa non sono associati cali di performance."
"Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive","Abilita filtri Cross-Site Scripting nei browser che supportano la direttiva X-XSS-Protection"
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages.","Consulta Wikipedia per ulteriori informazioni. Selezionando questa opzione, il plugin UPS renderà sicuro il Front Office del tuo negozio applicando <br />X-XSS-Protection: '1; mode=block' <br />Intestazione di risposta HTTP in tutte le pagine Front Office di Magento."
"Protect your e-shop website against protocol downgrade attacks and cookie hijacking","Proteggi il tuo sito di e-commerce contro attacchi di indebolimento del protocollo e cookie hijacking (dirottamento dei cookie)"
"See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages.","Consulta wikipedia per ulteriori informazioni. Selezionando questa opzione, il plugin UPS renderà sicuro il Front Office del tuo negozio online applicando <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />Intestazione di risposta HTTP in tutte le pagine Front Office di Magento."
"Prevent sensitive pages from caching by browser.","Previene il caching di pagine sensibili a seconda del browser."
"See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying <br />Cache-Control: no-cache, no-store<br />Expires: 0 <br />Pragma: no-cache<br />HTTP response headers to the corresponding pages","Consulta le domande frequenti OWASP per ulteriori informazioni. Selezionando questa opzione, il plugin UPS renderà sicuro il procedimento di Checkout applicando <br />Cache-Control: no-cache, no-store <br />Expires: 0 <br />Pragma: no-cache <br />Intestazioni di risposta HTTP alle pagine corrispondenti"
"Apply to pages","Applica alle pagine"
"All","Tutte"
"Checkout only","Solo Checkout"
"Data saved successfully.","Dati salvati con successo."
"We couldn't find any records","Non abbiamo trovato alcuna voce"
"Please wait…","Attendi..."
"Archiving Orders","Archiviazione ordini"
"There is no shipping service for the above address","Non esistono servizi di spedizione per l’indirizzo indicato"
"The email is not empty","Il campo e-mail non è vuoto"
"The country is not empty","Il campo Paese non è vuoto"
"Select all","Seleziona tutto"
"Unselect all","Deseleziona tutto"
"Do not have label for this Tracking ID","Non esiste un’etichetta per questo ID di ricerca"
"Print Label or download file.","Stampa etichetta o scarica file."
"Connection error, try later to install and configure","Errore di connessione, riprova a installare e configurare in un secondo momento"
"We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label","Non siamo in grado di annullare la tua spedizione in questo momento. Potrai provare ad annullare la tua spedizione in un secondo momento. Tuttavia questa spedizione non ti verrà addebitata, a patto che tu non usi l’etichetta di spedizione"
"Estimated Fee","Tariffa stimata"
"Shipping fee","Tariffa di spedizione"
"Poland","Polonia"
"United Kingdom","Regno Unito"
"France","Francia"
"Germany","Germania"
"Italy","Italia"
"Netherlands","Paesi Bassi"
"Spain","Spagna"
"Belgium","Belgio"
"United States","Stati Uniti"
"Shipment Manager","Gestire spedizione"
"Default Package","Pacco predefinito"
"Order Time","Ora ordine"
"Time","Ora"
"Un-Archive Orders","Ordini estratti dall'archivio"
"Un-Archiving Orders","Estrazione degli ordini dall'archivio"
"Warning! Un-Archiving orders will move your orders to Open Orders tab. Click 'OK' to continue, 'Cancel' to go back to the screen.","Avvertenza! L'estrazione degli ordini dall'archivio sposta gli ordini nella scheda Ordini aperti. Fare clic su 'OK' per continuare o su 'Annulla' per tornare alla schermata."
"Warning! Maximum allowable per package weight for shipments created for UPS Access Points is 20.00 kgs or 44.09 lbs.","Avvertenza! Il peso massimo consentito per i pacchi di spedizioni create per UPS Access Point è di 20,00 kg o 44,09 lb."
"Error! Maximum allowable per package weight is 70.00 kgs or 154.32 lbs.","Errore! Il peso massimo consentito per i pacchi è di 70,00 kg o 154,32 lb."
"Error! Package exceeds the maximum allowable size of 400 cm or 157.48 inches (the maximum allowable size calculation = length + 2 * width + 2 * height).","Errore! Il pacco supera la dimensione massima consentita di 400 cm o 157,48 pollici (calcolo delle dimensioni massime consentite = lunghezza + 2 * larghezza + 2 * altezza)."
"NOTE: If you have an existing UPS account number, please use the exact registered pickup address (which might be different from your invoice billing address) associated with this account number. Please note that the format of the postal code or zip code should exactly match the one provided in the registered pickup address.","NOTA: Se si dispone già di un codice cliente UPS, utilizzare l'indirizzo di ritiro esatto registrato (che potrebbe essere diverso dall'indirizzo di fatturazione) associato a questo codice cliente. Tener presente che il formato del codice postale o cap deve corrispondere esattamente a quello indicato nell'indirizzo di ritiro registrato."
"Pickup Address:","Indirizzo di ritiro:"
"Pickup Postal Code:","Codice postale di ritiro:"
"Use registered pickup address. <br />If you have any difficulties understanding which address to use, please contact your local UPS sales representative or call the support phone number provided on the “About” page","Usare l'indirizzo di ritiro registrato. <br />In caso di difficoltà a capire quale indirizzo utilizzare, contattare il rappresentante di vendita UPS di zona o chiamare il numero telefonico del fornito nella pagina 'Informazioni'"
"The format of the postal code should exactly match the one provided in the registered pickup address. If you have any difficulties understanding which address to use, please contact your local UPS sales representative or call the support phone number provided on the “About” page","Il formato del codice postale o cap deve corrispondere esattamente a quello indicato nell'indirizzo di ritiro registrato. In caso di difficoltà a capire quale indirizzo utilizzare, contattare il rappresentante di vendita UPS di zona o chiamare il numero telefonico del fornito nella pagina 'Informazioni'"
"UPS Shipping and UPS Access Point™ : Official Plugin","UPS Shipping e UPS Access Point™: Plugin ufficiale"
"This module allows you to easily integrate UPS services into your store with a range of guaranteed delivery services (including deliveries to UPS Access Points™) to meet your customers' need for speed and budget.","Questo modulo consente di integrare facilmente i servizi UPS nel proprio negozio con una gamma di servizi di consegna garantita (comprese le spedizioni agli UPS Access Point™) per soddisfare le esigenze di velocità e budget dei vostri clienti."
"UPS Shipping and UPS Access Point™: Official Module ","UPS Shipping e UPS Access Point™: Modulo ufficiale "
"Warning! Maximum allowable per package size for shipments created for UPS Access Points is 330 cm or 129.92 inches (the maximum allowable size calculation = length + 2 * width + 2 * height).","Avvertenza! La dimensione massima consentita per i pacchi delle spedizioni create per UPS Access Point è di 330 cm o 129,92 pollici (calcolo delle dimensioni massime consentite = lunghezza + 2 * larghezza + 2 * altezza)."
"Release on Italy, Netherlands and Belgium Market", "Rilascio sul mercato Italiano, Olandese e Belga"
"Un-Archive Orders","Rimuovi ordini dall’archivio"
