"//======================= About page","//======================= About page"
"Order value:","Order value:"
"Payment status:","Payment status:"
"Access Point:","Access Point:"
"Payment Status:","Payment Status:"
"Phone number:","Phone number:"
"Package:","Package:"
"Estimated Shipping fee:","Estimated Shipping fee:"
"Estimated Shipping Fee:","Estimated Shipping Fee:"
"Orders to be processed:","Orders to be processed:"
"Order #ID reference:","Order #ID reference:"
"Package details:","Package details:"
"Tracking number:","Tracking number:"
"Accessorial Service:","Accessorial service:"
"Accessorial service:","Accessorial service:"
"If you are new to UPS, please refer to the following FAQs for additional information:","If you are new to UPS, please refer to the following FAQs for additional information:"
"VAT Number:","VAT Number:"
"Promo Code:","Promo Code:"
"Country/Territory:","Country/Territory:"
"End of Business Day","End of Business Day"
"//==============================Security Enhancement page",""
"Security Enhancement","Security Enhancement"
"SECURITY ENHANCEMENTS ACTIVATION","SECURITY ENHANCEMENTS ACTIVATION"
"By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks."
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).","By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks."
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements)."
"Clickjacking Defense","Clickjacking Defense"
"See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently.","See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently."
"Use X-Frame-Options response header","Use X-Frame-Options response header"
"Do not use","Do not use"
"Deny","Deny"
"SameOrigin","SameOrigin"
"Use frame-killer script:","Use frame-killer script:"
"Use Content-Security-Policy response header","Use Content-Security-Policy response header"
"frame-ancestors 'none'","frame-ancestors 'none'"
"frame-ancestors 'sefl'","frame-ancestors 'sefl'"
"Content Sniffing Prevention","Content Sniffing Prevention"
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff","See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff"
"HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it.","HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it."
"Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive","Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive"
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages.","See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages."
"Protect your e-shop website against protocol downgrade attacks and cookie hijacking","Protect your e-shop website against protocol downgrade attacks and cookie hijacking"
"See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages.","See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages."
"Prevent sensitive pages from caching by browser.","Prevent sensitive pages from caching by browser."
"See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying <br />Cache-Control: no-cache, no-store<br />Expires: 0 <br />Pragma: no-cache<br />HTTP response headers to the corresponding pages","See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying<br />Cache-Control: no-cache, no-store <br />Expires: 0 <br />Pragma: no-cache <br />HTTP response headers to the corresponding pages"
"Apply to pages","Apply to pages"
"All","All"
"Number of items in order","Number of items in order"
"Add Backup Rate","Add Backup Rate"
"Checkout only","Checkout only"
"Data saved successfully.","Data saved successfully."
"We couldn't find any records","We couldn't find any records"
"Please wait…","Please wait…"
"Archiving Orders","Archiving Orders"
"There is no shipping service for the above address","There is no shipping service for the above address"
"The email is not empty","The email is not empty"
"The country is not empty","The country is not empty"
"Select all","Select all"
"Unselect all","Unselect all"
"Do not have label for this Tracking ID","Do not have label for this Tracking ID"
"Print Label or download file.","Print Label or download file."
"Connection error, try later to install and configure","Connection error, try later to install and configure"
"We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label","We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label"
"Estimated Fee","Estimated Fee"
"Shipping fee","Shipping fee"
"Poland","Poland"
"United Kingdom","United Kingdom"
"France","France"
"Germany","Germany"
"Italy","Italy"
"Netherlands","Netherlands"
"Spain","Spain"
"Belgium","Belgium"
"Shipment Manager","Shipment Manager"
"Default Package","Default Package"
"Order Time","Order Time"
"Time","Time"
"Warning", "Warning"
"Un-Archive Orders","Un-Archive Orders"
